Tactic ID,Tactic Name,ID,Technique Name,Sub-Technque/ Indicator #,Sub-Technique Description/Indicator,"Where Can I Detect?  Proxess, Logs, files, Sysmon, MDE",DoDI 8530.01 Cybersecurity Activity,Day Assessed,# of Attempted Exploits,Sensor Detected,Host Name,Host IP,URL,Sensor Block/Contained,Sensor Alert,Analyst  Actioned,Event Contained,All Events Detected?,Blocked by System,Required Alerts Generated,Analyst Actions Complete,Effective (Y/N),Observations,Detection Recommendations MITRE ATT&CK  Command Execution,Web Credential,Application,OS API Execution,Command,Image,Service ,Driver,Module Load,Process Creation,Schedule Job Creation,File,File Modification,Logon Session,User Accounts,Active Directory,Named Pipe,Network Traffic,Network Share,Network Traffic Flow,Script,Cloud Service,Windows Registry,File Access,Firewall Enumeration,Firewall Metadata
,,T1590,Gather Victim Network Information,T1590.001,Domain Properties,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1590.002,DNS,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1590.003,Network Trust Dependencies,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1590.004,Network Topology,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1590.005,IP Addresses,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1590.006,Network Security Appliances,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1591,Gather Victim Org Information,T1591.001,Determine Physical Locations,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1591.002,Business Relationships,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1591.003,Identify Business Tempo,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1591.004,Identify Roles,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1598,Phishing for Information,T1598.001,Spearphishing Service,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1598.002,Spearphishing Attachment,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1598.003,Spearphishing Link,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1597,Search Closed Sources,T1597.001,Threat Intel Vendors,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1597.002,Purchase Technical Data,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1597,Search Open Technical Databases,T1596.001,DNS/Passive DNS,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1596.002,WHOIS,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1596.003,Digital Certificates,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1596.004,CDNs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1596.005,Scan Databases,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1593,Search Open Websites/Domains,T1593.001,Social Media,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1593.002,Search Engines,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1594,Search Victim-Owned Websites,T1594.000,Search Victim-Owned Websites,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0042,Resource Development,T1650,Aquire Access,T1650,Aquire Access,TTP not in spreadsheet from esm audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1583,Acquire Infrastructure,T1583.001,Domains,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1583.002,DNS Server,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1583.003,Virtual Private Server,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1583.004,Server,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1583.005,Botnet,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1583.006,Web Services,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1586,Compromise Accounts,T1586.001,Social Media Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1586.002,Email Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1584,Compromise Infrastructure,T1584.001,Domains,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1584.002,DNS Server,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1584.003,Virtual Private Server,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1584.004,Server,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1584.005,Botnet,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1584.006,Web Services,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1587,Develop Capabilities,T1587.001,Malware,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1587.002,Code Signing Certificates,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1587.003,Digital Certificates,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1587.004,Exploits,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1585,Establish Accounts,T1585.001,Social Media Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1585.002,Email Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1588,Obtain Capabilities,T1588.001,Malware,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1588.002,Tool,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1588.003,Code Signing Certificates,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1588.004,Digital Certificates,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1588.005,Exploits,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1588.006,Vulnerabilities,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1608,Stage Capabilities,T1608.001,Upload Malware,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1608.002,Upload Tool,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1608.003,Install Digital Certificate,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1608.004,Drive-by Target,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1608.005,Link Target,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0001,Initial Access,T1189,Drive-by Compromise,T1189.000,Drive-by Compromise,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1190,Exploit Public-Facing Application,T1190.000,Exploit Public-Facing Application,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1133,External Remote Services,T1133.000,External Remote Services,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1200,Hardware Additions,T1200.000,Hardware Additions,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1566,Phishing,T1566.001,Spearphishing Attachment,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1566.002,Spearphishing Link,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1566.003,Spearphishing via Service,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1091,Replication Through Removable Media,T1091.000,Replication Through Removable Media,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1195,Supply Chain Compromise,T1195.001,Compromise Software Dependencies and Development Tools,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1195.002,Compromise Software Supply Chain,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1195.003,Compromise Hardware Supply Chain,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1199,Trusted Relationship,T1199.000,Trusted Relationship,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1078,Valid Accounts,T1078.001,Default Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1078.002,Domain Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N,N/A,N/A,N/A,,"Logon Session Creation	
Monitor for newly constructed logon behavior that may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Correlate other security systems with login information (e.g., a user has an active login session but has not entered the building or does not have VPN access).

Logon Session Metadata	
Look for suspicious account behavior across systems that share accounts, either user, admin, or service accounts. Examples: one account logged into multiple systems simultaneously; multiple accounts logged into the same machine simultaneously; accounts logged in at odd times or outside of business hours. Activity may be from interactive login sessions or process ownership from accounts being used to execute binaries on a remote system as a particular account.

User Account Authentication	
Monitor for an attempt by a user that may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.",,,,,,,,,,,,,"Logon Session Creation	
Monitor for suspicious account behavior across systems that share accounts, either user, admin, or service accounts. Examples: one account logged into multiple systems simultaneously; multiple accounts logged into the same machine simultaneously; accounts logged in at odd times or outside of business hours. Activity may be from interactive login sessions or process ownership from accounts being used to execute binaries on a remote system as a particular account.

Logon Session Metadata	
Correlate other security systems with login information (e.g., a user has an active login session but has not entered the building or does not have VPN access).","User Account Authentication:	
Monitor for an attempt by a user to gain access to a network or computing resource, often by the use of domain authentication services, such as the System Security Services Daemon (sssd) on Linux",,,,,,,,,,,
,,,,T1078.003,Local Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1078.004,Cloud Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0002,Execution,T1059,Command and Scripting Interpreter,T1059.001,PowerShell,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.002,AppleScript,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.003,Windows Command Shell,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.004,Unix Shell,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.005,Visual Basic,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.006,Python,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.007,JavaScript,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1059.008,Network Device CLI,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1609,Container Administration Command,T1609.000,Container Administration Command,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1610,Deploy Container,T1610.000,Deploy Container,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1203,Exploitation for Client Execution,T1203.000,Exploitation for Client Execution,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1559,Inter-Process Communication,T1559.001,Component Object Model,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1559.002,Dynamic Data Exchange,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1559.003,XPC Services,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1106,Native API,T1106.000,Native API,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Behavior Prevention on Endpoint	
On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent Office VBA macros from calling Win32 APIs. 

Execution Prevention	
Identify and block potentially malicious software executed that may be executed through this technique by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.",,,"Monitoring API calls may generate a significant amount of data and may not be useful for defense unless collected under specific circumstances, since benign use of API functions are common and may be difficult to distinguish from malicious behavior. Correlation of other events with behavior surrounding API function calls using API monitoring will provide additional context to an event that may assist in determining if it is due to malicious behavior. Correlation of activity by process lineage by process ID may be sufficient.",,,,,"Monitor DLL/PE file events, specifically creation of these binary files as well as the loading of DLLs into processes. Utilization of the Windows APIs may involve processes loading/accessing system DLLs associated with providing called functions (ex: ntdll.dll, kernel32.dll, advapi32.dll, user32.dll, and gdi32.dll). Monitoring for DLL loads, especially to abnormal/unusual or potentially malicious processes, may indicate abuse of the Windows API. Though noisy, this data can be combined with other indicators to identify adversary activity.",,,,,,,,,,,,,,,,,
,,T1053,Scheduled Task/Job,T1053.002,At,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.003,Cron,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.004,Launchd,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.005,Scheduled Task,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Command Execution	
Monitor executed commands and arguments for actions that could be taken to gather tasks may also be created through Windows system management tools such as Windows Management Instrumentation and PowerShell, so additional logging may need to be configured to gather the appropriate data.",,,,,,,,,"Process Creation	
Monitor for newly constructed processes and/or command-lines that execute from the svchost.exe in Windows 10 and the Windows Task Scheduler taskeng.exe for older versions of Windows. [167] If scheduled tasks are not used for persistence, then the adversary is likely to remove the task when the action is complete.","Monitor for newly constructed scheduled jobs by enabling the ""Microsoft-Windows-TaskScheduler/Operational"" setting within the event logging service. [168] Several events will then be logged on scheduled task activity, including: Event ID 106 on Windows 7, Server 2008 R2 - Scheduled task registered; Event ID 4698 on Windows 10, Server 2016 - Scheduled task created;Event ID 4700 on Windows 10, Server 2016 - Scheduled task enabled;Event ID 4701 on Windows 10, Server 2016 - Scheduled task disabled",,"File Modification	
Monitor Windows Task Scheduler stores in %systemroot%\System32\Tasks for change entries related to scheduled tasks that do not correlate with known software, patch cycles, etc.",,,,,,,,,,,,,
,,,,T1053.006,Systemd Timers,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.007,Container Orchestration Job,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1129,Shared Modules,T1129.000,Shared Modules,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1072,Software Deployment Tools,T1072.000,Software Deployment Tools,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1569,System Services,T1569.001,Launchctl,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1569.002,Service Execution,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor executed commands and arguments that may abuse the Windows service control manager to execute malicious commands or payloads.,,,,,,"Service Creation	
Monitor newly constructed services that abuse control manager to execute malicious commands or payloads.",,,Monitor for newly executed processes that may abuse the Windows service control manager to execute malicious commands or payloads.,,,,,,,,,,,,,Monitor for changes made to windows registry keys and/or values that may abuse the Windows service control manager to execute malicious commands or payloads.,,,
,,T1204,User Execution,T1204.001,Malicious Link,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1204.002,Malicious File,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1204.003,Malicious Image,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1047,Windows Management Instrumentation,T1047.000,Windows Management Instrumentation,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0003,Persistence,T1098,Account Manipulation,T1098.001,Additional Cloud Credentials,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1098.002,Additional Email Delegate Permissions,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1098.003,Additional Cloud Roles,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1098.004,SSH Authorized Keys,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1098.005,Device Registration,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1197,BITS Jobs,T1197.000,BITS Jobs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1547,Boot or Logon Autostart Execution,T1547.001,Registry Run Keys / Startup Folder,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Command Execution	
Monitor executed commands and arguments that may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key.",,,,,,,,,,,,"Monitor the start folder for additions or changes. Tools such as Sysinternals Autoruns may also be used to detect system changes that could be attempts at persistence, including the startup folders. [266]",,,,,,,,,"Windows Registry Key Creation	
Monitor for newly created windows registry keys that may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key.

Windows Registry Key Modification	
Monitor Registry for changes to run keys that do not correlate with known software, patch cycles, etc. Tools such as Sysinternals Autoruns may also be used to detect system changes that could be attempts at persistence, including listing the run keys' Registry locations. [266]",,,,
,,,,T1547.002,Authentication Package,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1547.003,Time Providers,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1547.004,Winlogon Helper DLL,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1547.005,Security Support Provider,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
